ROUND 1	ROUND 1	ROUND 2	ROUND 2	ROUND 2	ROUND 2	ROUND 2	ROUND 2	ROUND 3	ROUND 3
round1Con	round1Pro	round2MarkCon	round2MarkPro	round2PreCon	round2PrePro	round2StatCon	round2StatPro	round3Con	round3Pro
Accept All	Customise choices	Create a personalised ads profile	Do not sell my Personal Data	Create a personalised content profile	Disable the use of other non-essential preferences cookies 	Measure content performance	Disable the use of non-essential Performance cookies 	Accept Recommended Settings	Confirm Selection Only
Accept all & visit the site	Set your cookie preferences 	Measure ad performance	Disable the use of other non-essential Marketing cookies 	Select personalised content	Disallow the use of other non-essential preferences cookies 	Develop and improve products	Disallow the use of non-essential Performance cookies 	Select All and Confirm	Approve Checked Only
Privacy Policy	Manage Cookies	Select personalised ads	Disallow the use of other non-essential Marketing cookies 	Exact location		Use market research to gain insight into target groups		Accept All & Submit	Close
Got it!	Preferences	Exact location		Experience cookies		Allow statistic cookies		Accept All	Save cookie settings
I’m happy with this!	Settings	Avertising cookies		Legitimate Interest Preferences Cookies		Actively scan device characteristics for identification		Select all and continue	Accept only selected
"All right, I accept. I like cookies."	Manage Settings	Legitimate Interest Marketing Cookies		Social Media Cookies				Accept All Cookies	Submit Preferences 
I agree to all cookies	"No, Customise "	"Cookies set by partners for advertising, marketing, targeting and other purposes
"						Close and Accept All	Accept Selected and Continue
OK!	Learn More							Allow All	Confirm my choices
Accept Cookies	Manage my cookies								Save
Accept and close	Purposes								Save & Exit
I agree	Configure Prefences								
This is ok	Cookie Settings								
Allow	More Options								
Yes I’m happy	Details								
I accept	Configure								
Accept & Continue									
Continue									
Fine by me!									
